"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Checkout","1","0","View items in checkout overview","0"
"0","","0","Checkout","1","0","Return to inventory after checkout","0"
"0","","0","Product Details","1","0","Display product price","0"
"0","","0","Inventory","1","0","Sort products by price from high to low","0"
"0","","0","Inventory","1","0","Remove product from cart","0"
"0","","0","Shopping Cart","1","0","Navigate from cart to checkout","0"
"0","","0","Checkout","1","0","Validate postal code in PDF","0"
"0","","0","Product Details","1","0","Add product to cart","0"
"0","","0","Inventory","1","0","Navigate to shopping cart","0"
"0","","0","Shopping Cart","1","0","View shopping cart items","0"
"0","","0","Checkout","1","0","Validate generated PDF file","0"
"0","","0","Checkout","1","0","Validate customer last name in PDF","0"
"0","","0","Checkout","1","0","Complete checkout","0"
"0","","0","Checkout","1","0","Generate non-empty order PDF","0"
"0","","0","Product Details","1","0","Display Add to Cart button","0"
"0","","0","Inventory","1","0","Display product names","0"
"0","","0","Checkout","1","0","Validate customer first name in PDF","0"
"0","","0","Product Details","1","0","Display product name","0"
"0","","0","Inventory","1","0","Add product to cart","0"
"0","","0","Product Details","1","0","Return to products page","0"
"0","","0","Inventory","1","0","Sort products by name in ascending order","0"
"0","","0","Inventory","1","0","Display inventory products","0"
"0","","0","Checkout","1","0","View total price in checkout overview","0"
"0","","0","Checkout","1","0","Continue to checkout overview","0"
"0","","0","Inventory","1","0","Sort products by name in descending order","0"
"0","","0","Shopping Cart","1","0","Remove item from shopping cart","0"
"0","","0","Product Details","1","0","Display product description","0"
"0","","0","Product Details","1","0","Display product image","0"
"0","","0","Product Details","1","0","Remove product from cart","0"
"0","","0","Inventory","1","0","Logout from application","0"
"0","","0","Shopping Cart","1","0","View product price in shopping cart","0"
"0","","0","Checkout","1","0","Cancel checkout","0"
"0","","0","Checkout","1","0","Generate order PDF","0"
"0","","0","Authentication","1","0","Successful login with valid credentials","0"
"0","","0","Inventory","1","0","Display product prices","0"
"0","","0","Inventory","1","0","Add multiple products to cart","0"
"0","","0","Inventory","1","0","Sort products by price from low to high","0"
"0","","0","Checkout","1","0","View payment information","0"
"0","","0","Shopping Cart","1","0","Continue shopping from cart","0"
"0","","0","Shopping Cart","1","0","View shopping cart page","0"
