"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the selected product is displayed on the Checkout Overview page before completing the order.","5427","Verify that the cart item is displayed in checkout overview","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldDisplayItemsInCheckoutOverview"
"Verify that clicking the Back to Products button after completing an order returns the user to the Inventory page.","8900","Verify navigation back to the Inventory page","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldReturnToInventoryPageWhenBackToProductsIsClicked"
"Verify that the product price is displayed on the product details page.","5001","Verify the product price is displayed","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.ProductDetailsTest","Command line test","com.SauceDemo.testcases.ProductDetailsTest","shouldDisplayProductPrice"
"Verify that products are sorted correctly by price in descending order when the Price (high to low) option is selected.","3635","Verify product sorting by price from high to low","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldSortProductsByPriceHighToLow"
"Verify that a product can be removed from the shopping cart and that the shopping cart badge is no longer displayed.","32910","Verify that a product can be removed from the cart","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldRemoveProductFromCart"
"Verify that clicking the Checkout button from the shopping cart navigates the user to the Checkout: Your Information page.","6200","Verify navigation to the Checkout page","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CartTest","Command line test","com.SauceDemo.testcases.CartTest","shouldNavigateToCheckoutPage"
"Verify that the generated order PDF contains the postal code entered during checkout.","8978","Verify that the postal code is included in the generated PDF","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldBeAbleToGetPostalCodeFromThePdf"
"Verify that a product can be added to the shopping cart from the product details page and that the Remove button is displayed afterward.","5264","Verify that a product can be added to the cart","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.ProductDetailsTest","Command line test","com.SauceDemo.testcases.ProductDetailsTest","shouldAddProductToCart"
"Verify that the user can navigate from the Inventory page to the shopping cart page by clicking the shopping cart icon.","8366","Verify navigation to the shopping cart page","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldBeAbleToEnterToCartPage"
"Verify that the shopping cart displays the correct number of products after multiple products are added to the cart.","5774","Verify the number of items in the shopping cart","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CartTest","Command line test","com.SauceDemo.testcases.CartTest","shouldDisplayCorrectNumberOfItemsInCart"
"Verify that the generated order document is downloaded as a PDF file.","10896","Verify that the downloaded file is a PDF","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldGeneratePdfFile"
"Verify that the generated order PDF contains the customer's last name entered during checkout.","4631","Verify that the last name is included in the generated PDF","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldIncludeLastNameInGeneratedPdf"
"Verify that the user can successfully complete the checkout process and receives the order confirmation message.","6572","Verify successful checkout completion","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldCompleteCheckoutSuccessfully"
"Verify that the generated order PDF contains data and is not empty.","6819","Verify that the generated PDF is not empty","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldGenerateNonEmptyPdf"
"Verify that the Add to Cart button is displayed on the product details page.","2117","Verify the Add to Cart button is displayed","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.ProductDetailsTest","Command line test","com.SauceDemo.testcases.ProductDetailsTest","shouldDisplayAddToCartButton"
"Verify that all product names are displayed correctly on the Inventory page.","4442","Verify that all product names are displayed","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldDisplayAllProductNames"
"Verify that the generated order PDF contains the customer's first name entered during checkout.","8544","Verify that the first name is included in the generated PDF","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldIncludeFirstNameInGeneratedPdf"
"Verify that the correct product name is displayed on the product details page.","4303","Verify the product name","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.ProductDetailsTest","Command line test","com.SauceDemo.testcases.ProductDetailsTest","shouldDisplayCorrectProductName"
"Verify that a product can be added to the shopping cart and that the cart item count is updated.","4842","Verify that a product can be added to the cart","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldAddProductToCart"
"Verify that clicking the Back to Products button from the product details page returns the user to the Products page.","1392","Verify navigation back to the Products page","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.ProductDetailsTest","Command line test","com.SauceDemo.testcases.ProductDetailsTest","shouldReturnToProductsPage"
